condition,primary_error_category,count,denominator
P0,grounding,7,20
P0,conceptual,6,20
P0,calculation,3,20
P0,deficiency,2,20
P0,no_visible_answer,0,20
P0,other,0,20
P1,grounding,5,20
P1,conceptual,7,20
P1,calculation,2,20
P1,deficiency,3,20
P1,no_visible_answer,0,20
P1,other,0,20
P2,grounding,7,20
P2,conceptual,3,20
P2,calculation,3,20
P2,deficiency,3,20
P2,no_visible_answer,0,20
P2,other,1,20
P3,grounding,9,20
P3,conceptual,5,20
P3,calculation,2,20
P3,deficiency,2,20
P3,no_visible_answer,0,20
P3,other,0,20
M1,grounding,3,20
M1,conceptual,3,20
M1,calculation,3,20
M1,deficiency,1,20
M1,no_visible_answer,0,20
M1,other,0,20
M2,grounding,0,20
M2,conceptual,0,20
M2,calculation,0,20
M2,deficiency,0,20
M2,no_visible_answer,9,20
M2,other,0,20
M3,grounding,0,20
M3,conceptual,0,20
M3,calculation,0,20
M3,deficiency,0,20
M3,no_visible_answer,0,20
M3,other,0,20
