family,left_condition,right_condition,left_only_correct,right_only_correct,discordant,p_value,holm_adjusted_p_value
retrieval,P0,P1,0,1,1,1.0,1.0
temperature,P1,P2,1,1,2,1.0,1.0
temperature,P1,P3,1,0,1,1.0,1.0
temperature,P2,P3,2,1,3,1.0,1.0
model_generation,P1,M1,0,7,7,0.015625,0.03125
model_generation,P1,M2,0,8,8,0.0078125,0.0234375
model_generation,P1,M3,0,17,17,1.52587890625e-05,9.1552734375e-05
model_generation,M1,M2,2,3,5,1.0,1.0
model_generation,M1,M3,0,10,10,0.001953125,0.009765625
model_generation,M2,M3,0,9,9,0.00390625,0.015625
