depth_k,direct_evidence_hit_count,direct_evidence_hit_rate,direct_evidence_hit_rate_wilson_95_lower,direct_evidence_hit_rate_wilson_95_upper,useful_evidence_hit_count,useful_evidence_hit_rate,useful_evidence_hit_rate_wilson_95_lower,useful_evidence_hit_rate_wilson_95_upper,direct_evidence_mrr,graded_ndcg,useful_evidence_precision,mean_retrieved_context_tokens,mean_retrieved_context_characters
1,3,0.15,0.05236779195949584,0.36042329588695743,17,0.85,0.6395767041130426,0.9476322080405041,0.15,0.4166666666666667,0.85,69.8,183.55
2,5,0.25,0.11186005278940309,0.4687050099580636,19,0.95,0.7638641064874331,0.9911187805671268,0.2,0.43562855261861266,0.875,138.05,362.05
3,5,0.25,0.11186005278940309,0.4687050099580636,19,0.95,0.7638641064874331,0.9911187805671268,0.2,0.44888251461581474,0.8333333333333334,212.0,543.6
4,6,0.3,0.14547527396899385,0.5189767762289793,19,0.95,0.7638641064874331,0.9911187805671268,0.2125,0.4701245325691078,0.8125,279.0,727.15
5,6,0.3,0.14547527396899385,0.5189767762289793,19,0.95,0.7638641064874331,0.9911187805671268,0.2125,0.4853834461052825,0.79,339.05,908.1
8,10,0.5,0.2992949144298199,0.7007050855701801,19,0.95,0.7638641064874331,0.9911187805671268,0.24166666666666664,0.5088200085865993,0.7125,536.65,1446.95
10,12,0.6,0.3865779423152061,0.7811960325858074,19,0.95,0.7638641064874331,0.9911187805671268,0.25277777777777777,0.5301093109381334,0.7,664.15,1801.85
15,14,0.7,0.4810232237710206,0.854524726031006,20,1.0,0.8388698745050667,1.0,0.2602777777777778,0.5540784319625646,0.65,1021.35,2698.55
20,17,0.85,0.6395767041130426,0.9476322080405041,20,1.0,0.8388698745050667,1.0,0.2689583333333333,0.5834176973857772,0.62,1333.4,3557.0
25,18,0.9,0.6989617935882066,0.9721341060158468,20,1.0,0.8388698745050667,1.0,0.27133928571428567,0.6169458386869076,0.5820000000000001,1641.25,4418.75
30,19,0.95,0.7638641064874331,0.9911187805671268,20,1.0,0.8388698745050667,1.0,0.273125,0.6593169311910005,0.5633333333333332,1935.85,5289.85
